Date,AAPL,MSFT,GOOGL,AMZN,TSLA,BTC-USD,GLD,SPY
2021-01-01,429.3867280830975,400.1982287831806,171.67859345391824,376.97327543313344,204.92444920457027,463.2560297753459,361.88355222892824,160.24076042865764
2021-01-04,445.37582861093443,405.5334186112343,168.95701479677717,375.23201828954245,194.70087190738155,456.8861771609121,364.5094300617699,160.5960817229121
2021-01-05,442.97371272432827,393.0883814403203,160.14395878550187,367.75244707470017,194.29214077807293,458.0167938609078,366.40027827352463,163.16882106476388
2021-01-06,440.5847289886964,392.79319150611116,163.26116651107552,361.12855355029245,191.57809162859022,464.7601398960058,368.0826745845008,158.46592735990563
2021-01-07,457.5913442307212,399.5152601586051,165.91873592599194,363.7964877867182,193.57461094877854,467.52095954689025,368.62494919924666,161.77256597359442
2021-01-08,466.24246780012584,400.7768343213137,164.96203905326948,369.36722793397314,195.7642693441589,463.67919246287005,368.67112405282273,160.97264056631494
2021-01-11,461.06600426095065,404.59774538794716,165.25489006631074,365.1646540622692,192.54619791896113,472.175107672969,378.835150398003,162.09628097817816
2021-01-12,467.2674178304845,403.01253785769427,167.15454355560323,370.50412209801726,189.36039221757713,476.0122223304074,384.1196378754259,163.45285041005076
2021-01-13,462.14823490492955,412.4609696252153,161.55398434063198,378.2222598764116,188.91124187620682,465.67028672615737,387.4729861306283,165.06826123336953
2021-01-14,457.0592126358362,411.9619679975931,159.75597430473283,391.79550212632233,184.9644294246421,470.5906338348539,388.17759377789685,165.25631025377874
2021-01-15,459.8735308210688,408.23024596429707,162.55509437889384,392.4912188384493,188.67776690815037,467.5560675861031,392.8147981095235,165.94591678997162
2021-01-18,438.65943796579796,415.78262563247733,158.19352632207665,388.09465809648486,187.08077507877584,468.7964867567006,395.3339391029531,166.62431284291918
2021-01-19,420.42854591502794,404.05190227848345,159.2503527945639,381.1726725932987,174.30998563043778,474.5486068338463,395.6700872766834,165.31662022881335
2021-01-20,414.814047587954,408.3520366669718,154.62476398007172,373.68169048731096,172.811542124765,471.6109555404779,394.53063181315923,161.59846979257898
2021-01-21,404.74039766899693,399.84983088535506,156.23647759830277,382.41061388294133,168.6232580097578,462.56555847151793,394.3880501056896,159.09459271066586
2021-01-22,407.94235355772196,410.43739134170585,156.1666724469926,372.0044522674001,162.18133266585917,470.96885071530136,380.4631529320196,158.9326324807097
